"Id","Region","River Name","Section","Class","Class (decimal)","Length","Gradient","Time","Put in","Take out","Body"
"https://rivers.org.nz/nz/west-coast/arahura/styx-saddle-to-third-gorge","West Coast","Arahura","Styx Saddle to Third Gorge","III+","3.25","","","","Styx saddle","",""
"https://rivers.org.nz/nz/west-coast/arnold/kaimata-to-kokiri","West Coast","Arnold","Kaimata to Kokiri","II","2","5km","10m/km","1-2 hours","Power station at Kaimata","Road bridge at Kokiri","<p>The Arnold River drains from Lake Brunner, inland of Greymouth, and is a fantastic, mellow run ideal for after work or on a relaxing weekend.</p><p>The river flows quite quickly down a steady gradient with some great surf waves, rock splats and single channel rapids. The river is used extensively by locals, the local high school and Tai Poutini polytech for teaching their outdoor rec students.  It is always warm, and offers a fantastic venue, the only decent one on the Coast!, for teaching beginners. Watch out for the willow trees.</p><p>To get to the put-in; drive towards Reefton from Greymouth. Turn right at Stillwater and drive for about 6km to the signposted road on the left to the power station. Put in either down the grassy ramp to the right of the power station, or down the small gravel track that branches off to the right.</p><p>To get to the take-out; drive about 4km back towards Stillwater to the Kokiri freezing works on the right hand side. Turn to the right and park at the bridge.</p>"
"https://rivers.org.nz/nz/southland/arthur/lake-ada-to-milford-sound","Southland","Arthur","Lake Ada to Milford Sound","III-IV+","3.7","4km","10m/km","2-3 hours","Lake Ada","Milford Sound","The Arthur River flows into Milford Sound and provides a spectacular route for the famous Milford Track which follows it for almost its entire length. Needless to say the scenery is stunning and the waterfalls flowing off the valley sides after recent rain are not to be forgotten. Rick McGregor and Dave Kirk where probably the first to venture up the Arthur with a mind to paddling it in 1984. They also claim the first epic when Dave broke his paddle and swam. <p>The commonly paddled section is from the outlet of Lake Ada down to the Sound. There are two channels leaving the lake. Take the left one. In very high levels after very heavy rain the river can push into the big class V realm. If you are out of your depth the track is very close to the river the whole way.</p><p>Once leaving the lake there is a series of steep rocky rapids in the class III+ range. Be wary of undercut rocks and the odd trapped log in this section. Eventually the two channels join and you will feel the extra water suddenly through a series of big water moves and hydraulics. These lead to a long flat section just above the crux rapid. Scout from the rocks at the head of the rapid. Portage on river right in the slippery moss and big boulders if you need to.  A tricky entrance and drop into a cauldron requires some thought, as does the important cauldron exit. The rest of the rapid has many big holes so hold on to your hat and poke "
"https://rivers.org.nz/nz/canterbury/ashburton/ashburton","Canterbury","Ashburton","Ashburton","III-IV","3.5","","","","","",""
"https://rivers.org.nz/nz/canterbury/ashley/ashley-gorge","Canterbury","Ashley","Ashley Gorge","III+","3.25","12.5km","7.5m/km","2-5 hours","Ashley River Bridge on the Lees Valley Rd","Ashley Gorge campground","<p>Canterbury paddlers are blessed with this little gem on their back doorstep. The Ashley (Rakahuri) has been kayaked, canoed, tubed and liloed for decades. It feels like a wilderness trip because of the depth of the gorge and anyone walking out faces a lengthy epic.</p><p>The Ashley was a pleasant sanity preserver during my university years. We used to skip lectures and head up for an afternoon paddle, especially when there was a good flow in the river. In summer flows it can be a little scratchy, but fine for people just breaking out of beginner stage. (Don"
"https://rivers.org.nz/nz/canterbury/ashley/lees-valley-to-middle-bridge","Canterbury","Ashley","Lees Valley to Middle Bridge","II (III)","2.2","8.3km","5.2m/km","2-3 hours","Ashley River bridge at Lees Valley (Gillespie","Middle bridge (put-in for Ashley Gorge run)","<p>This run has a west coast feel "
"https://rivers.org.nz/nz/wellington/atiwhakatu-stream/atiwhakatu-to-holdsworth-lodge","Wellington","Atiwhakatu Stream","Atiwhakatu to Holdsworth Lodge","IV","4","","","","","","<p>Described by Fergus Bramley in NZ Canoeing Winter 2013 (13.2).</p><p>Park at the end of Mt Holdsworth Road, carry boats up Atiwhakatu on true right of river.</p><p>Takeout: <a href=""http://www.topomap.co.nz/NZTopoMap?v=2&ll=-40.906762,175.478948&z=14"" title=""http://www.topomap.co.nz/NZTopoMap?v=2&ll=-40.906762,175.478948&z=14"">http://www.topomap.co.nz/NZTopoMap?v=2&ll=-40.906762,175.478948&z=14</a></p>"
"https://rivers.org.nz/nz/marlborough/awatere/mt-gladstone-to-awapiri","Marlborough","Awatere","Mt Gladstone to Awapiri","I-II+","1.6","20km","","3-4 hours","Mt Gladstone bridge","Awapiri bridge","<p>The Awatere is a long river, rising in Molesworth Station and meeting the sea near Seddon. The headwaters include water flowing off the western slopes of the Inland Kaikoura range, but it is a dry part of New Zealand, so rain events present the best kayaking opportunities. The lower section of the Awatere"
"https://rivers.org.nz/nz/tasman/baton/baton-run","Tasman","Baton","Baton Run","III","3","5km","9m/km","1-2 hours depending on flow and put in","along open river flats 5km upstream from ford","ford 4km upstream from the Baton Bridge (c. 200m upstream from confluence)","<p>Characterised by a number of rapids through a series of picturesque gorges, the Baton River is almost a minature version of Nelsons Wairoa River. A major tributary of the Motueka River, the Baton is a wonderful outing with enjoyable class III paddling and numerous playspots. It"
"https://rivers.org.nz/nz/tasman/baton/upper-baton","Tasman","Baton","Upper Baton","III-IV","3.5","","","","","","<p>This run is a lot more technical than the lower Baton and includes a few undercut rocks, boulder gardens and a gradient of about 18 metres per kilometer for the best white water section. To get to the put in, you walk 7 kilometres from the conference of the Ellis and the Baton. Continue walking past the swing bridge until the track meets the river (about 2km upstream from the swing bridge). I am not sure what the white water is like upstream of this point. Take out at the Baton/EIlis conference. We did this in 3 hours.</p>"
"https://rivers.org.nz/nz/tasman/big/big-river-to-coast","Tasman","Big","Big River to Coast","IV-IV+","4.1","","30m/km","1-2 days","Where you can","Lagoon on West Coast","<p>Write up of first descent in CUMEC Magazine #6, p34-37 by Ben Robson.</p>"
"https://rivers.org.nz/nz/west-coast/blackball/smokeho-creek-to-blackball-creek-bridge","West Coast","Blackball","Smokeho Creek to Blackball Creek bridge","IV","4","4.5km","25m/km","1.5-2.5 hours","Smokeho Creek below swingbridge","Blackball Creek bridge","<p>Flowing out of the Southern Paparoas, this creek has been one of the Coast's best-kept secrets. Runnable only after reasonable rain, the creek affords numerous 1-2m drops and good class IV read and run.</p><p>It was first explored in 2003 by Trevor James, Andy Backhouse and Bob Cameron. It looked good but just needed the water. They didn't have to wait long - this is the west coast. Being fully aware of the potential for hidden logs and trees in this steep, treelined, corridor they treaded carefully and went in during low flows.  Over time the acceptable flow levels have raised so now it has been done in a wide range of flows. . Once on the main river you get a kilometre or so of class III+ to get warmed up. Things then steepen for 2.5km of mostly class IV/+ and there are a couple of ugly tree sieves that may require portaging and the crux rapid has a log railslide to boof then avoid a nasty cave with water pushing through it - you don't want to go into that! When things abruptly drop to class II it is all over and you just have to get to the bridge before you run out of water.</p><p><br />My first trip down was after a long drawn out day of waiting at the Blackball Hilton while a stationary front dumped over 160mm of rain in 24hours. At about 4.30pm we finally decided to go and hoped like crazy the level would drop quickly. At Smokeho Ck instead of a trickling current and crash and thrash to the river we had a miniature freight train ride to the confluence. The main creek was brown and charging as we picked our way very carefully down from (the few there were) eddy to eddy. We walked one tree sieve otherwise it was a great level to be in there. BUT - a swim was out of the question and good group boating skills were absolute necessary. In high water without prior knowledge it is solid class IV+ boating.<br /><br />To get to the take out: from Greymouth head north and cross the Cobden Bridge over the Grey River. Turn right and drive a short distance before a right turn again signposted to Taylorville and Blackball (along the Grey's true right bank). There is one more left turn (signposted Blackball) as the road heads back towards the Grey and Stillwater.  Keep on this, past the left turn for Blackball, and you will cross the Blackball Creek. Just bankfull and brown is a good flow. If it doesn't look like you can paddle/float down to the bridge it is probably too low and certainly will be by the time you get to the put in. Park on river left (there is another take out beyond the school which cuts out about 1.5km of the flat water at the end. You can find this for yourself).<br /><br />To get to the put-in: Drive back south to the signposted turnoff to Blackball. Drive up to Blackball and turn left at the Blackball Hilton. Follow this main street just out of town until the road splits and is sign posted "
"https://rivers.org.nz/nz/canterbury/boyle","Canterbury","Boyle","Engineers Camp to Windy Point","II-III","2.5","","","","","","<p>Beginner to intermediate water, wild and scenic character.</p>"
"https://rivers.org.nz/nz/tasman/buller/lake-rotoiti-to-sh63","Tasman","Buller","Lake Rotoiti to SH63","II-III+","2.6","2km","8m/km","30-60min","Buller Bridge on West Bay Road, Lake Rotoiti","Buller Bridge on SH63","<p>This run begins at Lake Rotoiti, the source of the mighty Buller, and is worth it if only to paddle from the lake to feel the birth of this majestic river. From start to finish, this run is one long rapid. Make sure you are able to make an eddy to actually get out at the bridge! The section is a good beginner trip with a slightly different feel to it. As a frenetic youth working at Rotoiti Lodge in St Arnaud I paddled this section more than 150 times, mostly on my own because there was no one else to paddle with and I couldn"
"https://rivers.org.nz/nz/tasman/buller/howard-to-harleys-rock","Tasman","Buller","Howard River Bridge to Harley's Rock Bridge","I-II","1.5","5km","6m/km","40-90 minutes","800m east of Howard River Bridge on SH63","Harley","<p>A pleasant cruise on an ever-growing river featuring plenty of straight-shot rapids with good eddies at the bottom. The put in can be used as the take out for the upper run. The section is often used for beginner courses and club trips and can be extended by continuing to a large gravel pit a couple of kilometres past Harley"
"https://rivers.org.nz/nz/tasman/buller/osullivans","Tasman","Buller","O'Sullivan's to Ariki","III","3","5.9km","6m/km","2-5 hours","picnic area at the top of O' Sullivan's Rapid","Ariki Falls (signposted) off SH6","<p>A classic of the Buller region, O"
"https://rivers.org.nz/nz/tasman/buller/whale-creek-to-ariki","Tasman","Buller","Whale Creek to Ariki","III","3","","","","","",""
"https://rivers.org.nz/nz/tasman/buller/earthquake","Tasman","Buller","Earthquake","III","3","10km","6m/km","2.5 hours","Harry's Track carpark","Big iron bridge on SH6","<p>Great scenery, great rapids and great (big) sandflies. Home of the mighty Gunslinger, inspiration for tales and lies aplenty at the pub. One of the historically classic and favourite runs in New Zealand.</p><p>The Earthquake section gets its name from the huge slip and side of the hill that slid into the river during the 1968 Inangahua shake. It dammed the river dry for 48 hours causing major concern it would burst and clear a swathe all the way to Westport. Fortunately, it released slowly. The lake at the put in is caused by the remains of the dam and provides a good warm up for the run that follows.</p><p>Play spots are plentiful through the first few rapids but many are "
"https://rivers.org.nz/nz/tasman/buller/granity-creek","Tasman","Buller","Gowan Bridge to Rait Road Bridge","III+","3.25","10km","6m/km","2-5 hours","Gowan Bridge off SH6","Rait Road Bridge off SH6","<p>A nemesis for countless neophyte kayakers, spawner of numerous legends (both real and imagined), the Granity Creek section of the Buller has been an area classic forever. </p><p>From the put in fun bouncy water keeps you busy for a couple of kilometres down to the top of Granity Creek rapid. Many get out on river right and take a look. Otherwise head down the middle and avoid the obvious hydraulics. </p><p>Granity Creek legends abound; in 1983 a guy named Pete Dale swam and lost his boat. A week later a fisherman from Westport phoned and said the mislaid kayak had been found on a sandbar at the river mouth! Dirk Paschier attained guru status by hand paddling Granity for the first time in 1983. In 1999 a World Cup Down River Racing event bought competitors from all over the world to race the rapid, break boats and cannon off walls. Long may it last! Once the formalities of the main Granity Creek rapid are dispensed with, settle back for pleasant rapids and surfing through the fun Graveyard and on down. Two Mile Island is the next obvious feature with excellent eddies to carve up and play in (there is often a play hole between the islands at Two Mile but need "
"https://rivers.org.nz/nz/tasman/buller/doctors-creek","Tasman","Buller","Doctor's Creek","II+","2.25","5.5km","3m/km","1-3 hours","Across paddocks on the south side of Doctors Creek.","Mangles/Buller confluence.","<p>The era of rodeo kayaking has turned the Doctors Creek run on the Buller River into one of the river"
"https://rivers.org.nz/nz/tasman/buller/owen-river-to-doctors-creek","Tasman","Buller","Owen River to Doctor's Creek","II+","2.25","","","","","",""
"https://rivers.org.nz/nz/west-coast/burke/monument-to-haast-river","West Coast","Burke","Monument to Haast River","V","5","13.5km","35m/km","2 days","The monument at the head of the Burke River","Haast River confluence","<p>"
"https://rivers.org.nz/nz/canterbury/clarence/acheron-to-glen-alton-bridge","Canterbury","Clarence","Acheron to Glen Alton bridge","II-III","2.5","195km","3m/km","3-4 days","Acheron Bridge near the Acheron Accommodation House","Glen Alton bridge (or SH1 bridge)","<p>The Clarence River is one of the country"
"https://rivers.org.nz/nz/canterbury/clarence/jacks-pass-to-acheron","Canterbury","Clarence","Jack's Pass to Acheron","II","2","","","","","",""
"https://rivers.org.nz/nz/canterbury/clarence/lake-tennyson-to-jacks-pass","Canterbury","Clarence","Lake Tennyson to Jack's Pass","II","2","","","","","",""
"https://rivers.org.nz/nz/canterbury/clarence/glen-alton-bridge-to-sh1","Canterbury","Clarence","Glen Alton Bridge to SH1","II-III","2.5","9km","","","Glen Alton bridge","SH1 bridge","<p>Extreme care has to be taken approaching the SH1 bridge as there are hard-to-see concrete flood protection "
"https://rivers.org.nz/nz/southland/cleddau/chasm-to-milford-lodge","Southland","Cleddau","The Chasm to Milford Lodge","IV-V+","4.61","7.5km","40m/km","2-5 hours","The Chasm carpark","Milford Lodge","<p>Wait for rain, preferably a lot of it. It starts steep and the rapids are reminiscent of the Marian Creek run on the Hollyford. Not long after starting is one very steep, as yet unrun rapid, best portaged along the road. Back on the river the gradient remains steep all the way to the Donne confluence. Everything else has been paddled, in the right water.At the Donne the gradient eases (12m/km) and class IV water lasts for a kilometre or so, then it's into class II and III before Milford Lodge.To get to the put-in: go through the Homer Tunnel, drive down the Cleddau valley to The Chasm carpark, pose for pictures among the hundreds of tourists. Scramble out the end of the carpark down to the river. If you're getting in at the Donne River, either bash down the Donne River itself for 150m, or drive 500m further towards Milford from the Donne River bridge to where the river runs close to the road.To get to the take-out: drive down the valley and turn off at signs to Milford Lodge. The Lodge is a backpacker hostel with camping sites, a shop, showers and washing facilities if you need these. (There aren't any others in the area).</p>"
"https://rivers.org.nz/nz/otago/clutha/wanaka-to-lake-dunstan","Otago","Clutha","Wanaka to Lake Dunstan","I","1","","","","","","<p>RUS 2414, class unknown</p>"
"https://rivers.org.nz/nz/cobb/cobb","Tasman","Cobb","Cobb","IV-V (VI-)","4.55","","50m/km","","from below the Cobb reservoir","Cobb Powerhouse","<p>The Cobb has a seriously steep run from below the Cobb reservoir. Walk down to the junction with Daimond lake stream. A short warm up and your world will change drastically. Three hours of 50m/km with only a few portages drops into 100m/km and plenty of scouting and portaging. It then sits down (?) to 50m/km again to the Cobb Powerhouse. It needs a strong team with good communication skills.</p>"
"https://rivers.org.nz/nz/west-coast/crooked/upper-gorge","West Coast","Crooked","Upper Gorge","IV+-V","4.6","2.5km","28m/km","40mins - 4hours","Where the track first returns to the river or Morgan Creek","At the old bridge site","<p>The Crooked River is just north of SH73 between Arthur"
"https://rivers.org.nz/nz/west-coast/crooked/upper-upper-gorge","West Coast","Crooked","Upper Upper Gorge","V-VI","5.5","","","","Old airstrip","","<p>In 1996 a team flew into Forks Hut and made their way out from there in "
"https://rivers.org.nz/nz/west-coast/crooked/lower-gorge","West Coast","Crooked","Lower Gorge","II-III","2.5","","","1-4 hours","Old Bridge site","Road Bridge","<p>There is a lovely class II-III run on the lower Crooked. Put in at the old bridge site (take out for the upper run) and paddle about 4.5km to the first road bridge over the Crooked. This is a lovely beginner/intermediate trip and well worthwhile</p>"
"https://rivers.org.nz/nz/canterbury/doubtful","Canterbury","Doubtful","?","III","3","","","","","",""
"https://rivers.org.nz/nz/west-coast/falls-creek/falls-creek","West Coast","Falls Creek","Falls Creek","V","5","2.5km","80m/km","2-8 hrs - seriously!","bridge","Hokitika","<p>Falls Creek is a guidebook writer"
"https://rivers.org.nz/nz/west-coast/fox/fox-glacier-to-sh6","West Coast","Fox","Fox Glacier to SH6","IV+ (V-)","4.27","3km","23.5m/km","1-2 hours","From the glacier carpark, or carry up to the terminal face of the glacier","Fox River bridge SH6.","<p>For those who like it on the rocks. The Fox River drains that which changes from a frozen to liquid state. You guessed it; ICE "
"https://rivers.org.nz/nz/tasman/glenroy/to-glenroy-river-bridge","Tasman","Glenroy","Glenroy Valley road to Glenroy River bridge","IV-IV+","4.1","2.9km","19m/km","1 hour","1.9 kilometre from road junction up the Glenroy Valley Road","Glenroy River Bridge","<p>After rain when the Matakitaki is flowing high the Glenroy is a refreshing cure for the big water fatigue that sets in after too much of the Buller. It"
"https://rivers.org.nz/nz/tasman/gowan/lake-rotoroa-to-buller-river","Tasman","Gowan","Lake Rotoroa to Buller River","III","3","11km","","","Lake Rotorua","Gowan bridge on Buller river","Subject of request to vary Buller WCO."
"https://rivers.org.nz/nz/otago/grebe/grebe-river","Southland","Grebe","Percy Valley bridge to Lake Manapouri","II-III+","2.6","3km","11m/km","1 hour","Percy Valley Bridge","End of the road at Lake Manapouri","You have to work for this one. It is a long way off the beaten track and best suits those in the area for other reasons (tramping, mountain biking). The run is moderate and needs water to make it worthwhile. Locals say it gets to class IV in very high flows. Maybe it does, but you can decide.<p>To get to the put-in, head into the deep south and Borland Lodge, west of Monowai and north of Lake Monowai. Drive past the Lodge and through the gate on the road over the Borland Saddle. Follow this winding gravel road for 37km to the Percy Valley bridge.</p><p>To get to the take-out, continue 3km down the road to the south arm of Lake Manapouri where there is a DOC public shelter and toilets. Take plenty of <strong>HEAVY DUTY</strong> insect repellant!!</p>"
